iter	RMSE
0	0.3960668619
1	0.3699296539
2	0.3465525859
3	0.326024968
4	0.3079870255
5	0.2921380857
6	0.2785179445
7	0.2661969276
8	0.2557063639
9	0.2463269201
10	0.2379921592
11	0.2308868375
12	0.2246490988
13	0.2191477432
14	0.2141638673
15	0.2089065286
16	0.2050356756
17	0.201594493
18	0.1987520556
19	0.1951240595
20	0.1920553867
21	0.1893239487
22	0.1874487234
23	0.1850000632
24	0.1829771068
25	0.1812322321
26	0.179284395
27	0.1773365765
28	0.1759202864
29	0.1746566807
30	0.1734844696
31	0.1725142539
32	0.1716093319
33	0.1708135176
34	0.1699245329
35	0.1688130197
36	0.1681629848
37	0.1669134849
38	0.1662878131
39	0.1651403149
40	0.1646434327
41	0.1638991675
42	0.1635003879
43	0.16260029
44	0.1620748956
45	0.1610685676
46	0.1606441887
47	0.1603340224
48	0.1599499051
49	0.1590582835
50	0.1582771223
51	0.1579572865
52	0.1575597269
53	0.1573415699
54	0.1570207849
55	0.1565746504
56	0.1561610317
57	0.1555422638
58	0.1551483671
59	0.15468695
60	0.1544154323
61	0.1542453759
62	0.1538570949
63	0.1536110378
64	0.1533502096
65	0.1531196848
66	0.1528740437
67	0.1524254802
68	0.1522197285
69	0.1519755077
70	0.1517405377
71	0.1514487302
72	0.1512074226
73	0.1509465044
74	0.1506807333
75	0.1505460589
76	0.1503064349
77	0.1501321836
78	0.1498329151
79	0.1496744252
80	0.1494064931
81	0.1490060709
82	0.1488454672
83	0.1485940528
84	0.1483853136
85	0.1482440454
86	0.1480701835
87	0.1479180958
88	0.1478087503
89	0.1475075525
90	0.1473143549
91	0.1470698211
92	0.146917345
93	0.1467838255
94	0.1466339788
95	0.1464866506
96	0.1463151163
97	0.1462106556
98	0.146077218
99	0.1459518267
