iter	Passed	Remaining
0	98	9707
1	128	6315
2	163	5289
3	190	4575
4	219	4178
5	249	3903
6	276	3671
7	305	3518
8	335	3396
9	364	3284
10	392	3174
11	426	3130
12	456	3054
13	483	2972
14	511	2898
15	547	2876
16	586	2865
17	620	2827
18	653	2787
19	685	2740
20	714	2686
21	741	2629
22	766	2565
23	793	2512
24	823	2471
25	849	2417
26	875	2367
27	904	2326
28	930	2278
29	958	2236
30	983	2188
31	1006	2139
32	1030	2092
33	1054	2047
34	1083	2012
35	1108	1969
36	1132	1927
37	1158	1890
38	1184	1852
39	1210	1815
40	1234	1775
41	1261	1741
42	1283	1700
43	1308	1665
44	1332	1628
45	1359	1596
46	1386	1563
47	1410	1527
48	1436	1494
49	1464	1464
50	1493	1434
51	1518	1401
52	1549	1374
53	1580	1345
54	1611	1318
55	1637	1286
56	1664	1255
57	1711	1239
58	1754	1219
59	1783	1189
60	1810	1157
61	1832	1123
62	1861	1093
63	1887	1061
64	1915	1031
65	1940	999
66	1963	967
67	1990	936
68	2019	907
69	2046	877
70	2070	845
71	2097	815
72	2122	785
73	2146	754
74	2175	725
75	2202	695
76	2225	664
77	2248	634
78	2278	605
79	2303	575
80	2332	547
81	2370	520
82	2401	491
83	2427	462
84	2457	433
85	2483	404
86	2513	375
87	2542	346
88	2563	316
89	2594	288
90	2617	258
91	2645	230
92	2671	201
93	2694	171
94	2721	143
95	2755	114
96	2798	86
97	2828	57
98	2853	28
99	2880	0
